Word,Sets,Source,Checks,Score,Synonyms,Generated,Added
absorb,NORTH,Armstrong,2,0,False,False,2025-09-08
absorbent,NORTH,Armstrong,2,0,False,False,2025-09-08
absorptivity,NORTH KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
abuse,GOOSE COMMA,Armstrong,2,0,False,False,2025-09-08
abusive,GOOSE KIT,Armstrong,2,0,False,False,2025-09-08
abuzz,STRUT,Armstrong,2,0,False,False,2025-09-08
acacia,FACE,Armstrong,2,0,False,False,2025-09-08
academe,FLEECE TRAP,Armstrong,2,0,False,False,2025-09-08
academy,TRAP HAPPY COMMA,Armstrong,2,0,False,False,2025-09-08
acapulco,FOOT GOAT TRAP,Armstrong,2,0,False,False,2025-09-08
accept,DRESS COMMA,Armstrong,2,0,False,False,2025-09-08
acceptable,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
access,DRESS TRAP,Armstrong,2,0,False,False,2025-09-08
accessary,COMMA DRESS HAPPY,Armstrong,2,0,False,False,2025-09-08
accessibility,KIT HAPPY DRESS,Armstrong,2,0,False,False,2025-09-08
accessible,DRESS COMMA,Armstrong,2,0,False,False,2025-09-08
accessory,LETTER COMMA DRESS HAPPY,Armstrong,2,0,False,False,2025-09-08
acciaccatura,COMMA TRAP CURE,Armstrong,2,0,False,False,2025-09-08
acclaim,FACE,Armstrong,2,0,False,False,2025-09-08
accolade,FACE TRAP,Armstrong,2,0,False,False,2025-09-08
accommodation,COMMA LOT FACE,Armstrong,2,0,False,False,2025-09-08
accomplished,COMMA LOT KIT,Armstrong,2,0,False,False,2025-09-08
accord,NORTH,Armstrong,2,0,False,False,2025-09-08
accordance,COMMA NORTH,Armstrong,2,0,False,False,2025-09-08
according,COMMA NORTH KIT,Armstrong,2,0,False,False,2025-09-08
accost,CLOTH,Armstrong,2,0,False,False,2025-09-08
account,MOUTH COMMA,Armstrong,2,0,False,False,2025-09-08
accountant,COMMA MOUTH,Armstrong,2,0,False,False,2025-09-08
accumululated,GOOSE FACE,Armstrong,2,0,False,False,2025-09-08
accuracy,FOOT TRAP HAPPY,Armstrong,2,0,False,False,2025-09-08
accurist,FOOT TRAP KIT,Armstrong,2,0,False,False,2025-09-08
accusation,FOOT TRAP FACE,Armstrong,2,0,False,False,2025-09-08
accuse,GOOSE,Armstrong,2,0,False,False,2025-09-08
accused,COMMA GOOSE,Armstrong,2,0,False,False,2025-09-08
ace,FACE,Armstrong,2,0,False,False,2025-09-08
acheulian,COMMA GOOSE,Armstrong,2,0,False,False,2025-09-08
achievable,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
achieve,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
achievement,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
achieving,COMMA FLEECE KIT,Armstrong,2,0,False,False,2025-09-08
achoo,COMMA GOOSE,Armstrong,2,0,False,False,2025-09-08
ackee,HAPPY,Armstrong,2,0,False,False,2025-09-08
acorn,NORTH FACE,Armstrong,2,0,False,False,2025-09-08
acoustic,GOOSE KIT,Armstrong,2,0,False,False,2025-09-08
acoustician,GOOSE TRAP KIT,Armstrong,2,0,False,False,2025-09-08
acre,FACE,Armstrong,2,0,False,False,2025-09-08
across,CLOTH COMMA,Armstrong,2,0,False,False,2025-09-08
act,TRAP,Armstrong,2,0,False,False,2025-09-08
action,TRAP,Armstrong,2,0,False,False,2025-09-08
activate,KIT TRAP FACE,Armstrong,2,0,False,False,2025-09-08
activity,KIT TRAP HAPPY,Armstrong,2,0,False,False,2025-09-08
actual,GOOSE TRAP,Armstrong,2,0,False,False,2025-09-08
actually,TRAP (COMMA) HAPPY (GOOSE),Armstrong,2,0,False,False,2025-09-08
acumen,FOOT TRAP,Armstrong,2,0,False,False,2025-09-08
acupressure,DRESS GOOSE LETTER TRAP,Armstrong,2,0,False,False,2025-09-08
acupuncture,STRUT FOOT TRAP LETTER,Armstrong,2,0,False,False,2025-09-08
acute,GOOSE,Armstrong,2,0,False,False,2025-09-08
ad,TRAP,Armstrong,2,0,False,False,2025-09-08
adam,TRAP,Armstrong,2,0,False,False,2025-09-08
adaptation,TRAP FACE,Armstrong,2,0,False,False,2025-09-08
adaptive,TRAP COMMA KIT,Armstrong,2,0,False,False,2025-09-08
add,TRAP,Armstrong,2,0,False,False,2025-09-08
addict,KIT TRAP,Armstrong,2,0,False,False,2025-09-08
addicts,TRAP KIT,Armstrong,2,0,False,False,2025-09-08
addition,KIT,Armstrong,2,0,False,False,2025-09-08
additional,KIT COMMA,Armstrong,2,0,False,False,2025-09-08
address,DRESS COMMA,Armstrong,2,0,False,False,2025-09-08
adelaide,FACE TRAP,Armstrong,2,0,False,False,2025-09-08
adelphi,HAPPY DRESS,Armstrong,2,0,False,False,2025-09-08
adenosine,(KIT) (FLEECE) DRESS,Armstrong,2,0,False,False,2025-09-08
adhere,NEAR TRAP,Armstrong,2,0,False,False,2025-09-08
adhering,NEAR TRAP,Armstrong,2,0,False,False,2025-09-08
adjacency,COMMA FACE HAPPY,Armstrong,2,0,False,False,2025-09-08
adjacent,COMMA FACE,Armstrong,2,0,False,False,2025-09-08
adjoining,COMMA CHOICE KIT,Armstrong,2,0,False,False,2025-09-08
adjoins,COMMA CHOICE,Armstrong,2,0,False,False,2025-09-08
adjourn,COMMA FORCE,Armstrong,2,0,False,False,2025-09-08
adjourned,COMMA FORCE,Armstrong,2,0,False,False,2025-09-08
adjournment,COMMA FORCE,Armstrong,2,0,False,False,2025-09-08
adjudged,STRUT COMMA,Armstrong,2,0,False,False,2025-09-08
adjudication,COMMA GOOSE KIT FACE,Armstrong,2,0,False,False,2025-09-08
adjudications,COMMA GOOSE KIT FACE,Armstrong,2,0,False,False,2025-09-08
adjunct,STRUT TRAP,Armstrong,2,0,False,False,2025-09-08
adjunction,COMMA STRUT TRAP,Armstrong,2,0,False,False,2025-09-08
adjunctive,COMMA TRAP STRUT KIT,Armstrong,2,0,False,False,2025-09-08
adjust,COMMA STRUT,Armstrong,2,0,False,False,2025-09-08
adjustable,COMMA STRUT,Armstrong,2,0,False,False,2025-09-08
adjuster,COMMA STRUT LETTER,Armstrong,2,0,False,False,2025-09-08
administration,COMMA TRAP KIT FACE,Armstrong,2,0,False,False,2025-09-08
admission,COMMA TRAP KIT,Armstrong,2,0,False,False,2025-09-08
admit,KIT,Armstrong,2,0,False,False,2025-09-08
admits,COMMA KIT,Armstrong,2,0,False,False,2025-09-08
adobe,GOAT COMMA HAPPY,Armstrong,2,0,False,False,2025-09-08
adopt,LOT,Armstrong,2,0,False,False,2025-09-08
adorable,FORCE COMMA,Armstrong,2,0,False,False,2025-09-08
adore,FORCE COMMA,Armstrong,2,0,False,False,2025-09-08
adorn,NORTH,Armstrong,2,0,False,False,2025-09-08
adrian,FACE FLEECE?,Armstrong,2,0,False,False,2025-09-08
advanced,COMMA BATH,Armstrong,2,0,False,False,2025-09-08
advantage,BATH COMMA,Armstrong,2,0,False,False,2025-09-08
advantageous,FACE TRAP,Armstrong,2,0,False,False,2025-09-08
adventure,LETTER COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
advert,NURSE TRAP,Armstrong,2,0,False,False,2025-09-08
advertise,PRICE TRAP LETTER,Armstrong,2,0,False,False,2025-09-08
advertised,LETTER TRAP PRICE,Armstrong,2,0,False,False,2025-09-08
advertisement,NURSE/LETTER TRAP PRICE/KIT,Armstrong,2,0,False,False,2025-09-08
advertiser,LETTER TRAP PRICE,Armstrong,2,0,False,False,2025-09-08
advertising,TRAP LETTER PRICE KIT,Armstrong,2,0,False,False,2025-09-08
advice,PRICE COMMA,Armstrong,2,0,False,False,2025-09-08
advisor,PRICE LETTER COMMA,Armstrong,2,0,False,False,2025-09-08
aegean,NEAR,Armstrong,2,0,False,False,2025-09-08
aegis,FLEECE KIT,Armstrong,2,0,False,False,2025-09-08
aegisthus,(FLEECE) KIT,Armstrong,2,0,False,False,2025-09-08
aemilius,FLEECE,Armstrong,2,0,False,False,2025-09-08
aerial,SQUARE FLEECE,Armstrong,2,0,False,False,2025-09-08
aerofoil,CHOICE SQUARE GOAT,Armstrong,2,0,False,False,2025-09-08
aeroplane,FACE SQUARE GOAT,Armstrong,2,0,False,False,2025-09-08
aerospace,GOAT SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
aertex,SQUARE DRESS,Armstrong,2,0,False,False,2025-09-08
aether,LETTER FLEECE,Armstrong,2,0,False,False,2025-09-08
affair,SQUARE,Armstrong,2,0,False,False,2025-09-08
affairs,SQUARE COMMA,Armstrong,2,0,False,False,2025-09-08
affect,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
affected,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
affection,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
affectionate,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
affective,COMMA DRESS KIT,Armstrong,2,0,False,False,2025-09-08
affiliate,COMMA KIT FACE,Armstrong,2,0,False,False,2025-09-08
affiliated,KIT COMMA FACE,Armstrong,2,0,False,False,2025-09-08
affinity,COMMA KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
affleck,TRAP DRESS,Armstrong,2,0,False,False,2025-09-08
affluenza,COMMA TRAP GOOSE DRESS,Armstrong,2,0,False,False,2025-09-08
afford,FORCE COMMA,Armstrong,2,0,False,False,2025-09-08
affordable,COMMA FORCE,Armstrong,2,0,False,False,2025-09-08
affranchises,COMMA TRAP PRICE,Armstrong,2,0,False,False,2025-09-08
affricative,TRAP KIT,Armstrong,2,0,False,False,2025-09-08
afghan,TRAP,Armstrong,2,0,False,False,2025-09-08
afghanistan,TRAP PALM KIT,Armstrong,2,0,False,False,2025-09-08
afield,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
afire,COMMA PRICE,Armstrong,2,0,False,False,2025-09-08
afocal,FACE GOAT,Armstrong,2,0,False,False,2025-09-08
afoot,FOOT COMMA,Armstrong,2,0,False,False,2025-09-08
aforementioned,FORCE DRESS TRAP,Armstrong,2,0,False,False,2025-09-08
afraid,FACE COMMA,Armstrong,2,0,False,False,2025-09-08
afresh,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
africa,TRAP COMMA KIT,Armstrong,2,0,False,False,2025-09-08
afrikaans,PALM TRAP KIT,Armstrong,2,0,False,False,2025-09-08
afro-wig,GOAT TRAP KIT,Armstrong,2,0,False,False,2025-09-08
after,BATH LETTER,Armstrong,2,0,False,False,2025-09-08
afterlife,PRICE BATH LETTER,Armstrong,2,0,False,False,2025-09-08
aftermath,TRAP LETTER BATH,Armstrong,2,0,False,False,2025-09-08
afternoon,LETTER BATH GOOSE,Armstrong,2,0,False,False,2025-09-08
aftershave,FACE BATH LETTER,Armstrong,2,0,False,False,2025-09-08
afterthought,THOUGHT LETTER BATH,Armstrong,2,0,False,False,2025-09-08
afterwards,LETTER BATH,Armstrong,2,0,False,False,2025-09-08
again,(DRESS) COMMA (FACE),Armstrong,2,0,False,False,2025-09-08
against,(DRESS) COMMA (FACE),Armstrong,2,0,False,False,2025-09-08
agatha,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
agave,COMMA FACE,Armstrong,2,0,False,False,2025-09-08
age,FACE,Armstrong,2,0,False,False,2025-09-08
ageing,FACE KIT,Armstrong,2,0,False,False,2025-09-08
agency,FACE HAPPY,Armstrong,2,0,False,False,2025-09-08
agenda,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
agent,FACE,Armstrong,2,0,False,False,2025-09-08
agential,FACE DRESS,Armstrong,2,0,False,False,2025-09-08
ageusia,FACE GOOSE FLEECE,Armstrong,2,0,False,False,2025-09-08
agfa,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
aggiornamento,COMMA DRESS GOAT CURE,Armstrong,2,0,False,False,2025-09-08
aggressive,COMMA DRESS KIT,Armstrong,2,0,False,False,2025-09-08
aggressively,COMMA DRESS KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
aggressor,COMMA DRESS LETTER,Armstrong,2,0,False,False,2025-09-08
aggrieved,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
agile,TRAP PRICE,Armstrong,2,0,False,False,2025-09-08
agility,COMMA KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
agincourt,FORCE TRAP KIT,Armstrong,2,0,False,False,2025-09-08
ago,GOAT COMMA,Armstrong,2,0,False,False,2025-09-08
agony,TRAP HAPPY,Armstrong,2,0,False,False,2025-09-08
agra,PALM TRAP,Armstrong,2,0,False,False,2025-09-08
agranulocytosis,COMMA TRAP GOAT PRICE KIT,Armstrong,2,0,False,False,2025-09-08
agrapha,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
agrarianism,COMMA SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
agree,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
agreeable,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
agreed,FLEECE COMMA,Armstrong,2,0,False,False,2025-09-08
agreeing,FLEECE KIT,Armstrong,2,0,False,False,2025-09-08
agreement,FLEECE,Armstrong,2,0,False,False,2025-09-08
agricola,COMMA KIT,Armstrong,2,0,False,False,2025-09-08
agriculture,TRAP STRUT KIT LETTER,Armstrong,2,0,False,False,2025-09-08
agrippa,COMMA KIT,Armstrong,2,0,False,False,2025-09-08
agronomist,COMMA LOT KIT,Armstrong,2,0,False,False,2025-09-08
agronomy,COMMA LOT HAPPY,Armstrong,2,0,False,False,2025-09-08
aground,COMMA MOUTH,Armstrong,2,0,False,False,2025-09-08
aguecheek,FLEECE GOOSE,Armstrong,2,0,False,False,2025-09-08
ah,PALM,Armstrong,2,0,False,False,2025-09-08
aha,PALM,Armstrong,2,0,False,False,2025-09-08
ahead,DRESS,Armstrong,2,0,False,False,2025-09-08
ahmed,DRESS PALM,Armstrong,2,0,False,False,2025-09-08
ahoy,CHOICE,Armstrong,2,0,False,False,2025-09-08
aiden,FACE,Armstrong,2,0,False,False,2025-09-08
aids,FACE,Armstrong,2,0,False,False,2025-09-08
aiken,FACE,Armstrong,2,0,False,False,2025-09-08
aikido,FLEECE PRICE GOAT,Armstrong,2,0,False,False,2025-09-08
aileen,(FLEECE) PRICE,Armstrong,2,0,False,False,2025-09-08
ailing,FACE KIT,Armstrong,2,0,False,False,2025-09-08
aim,FACE,Armstrong,2,0,False,False,2025-09-08
aimee,FACE HAPPY,Armstrong,2,0,False,False,2025-09-08
air,SQUARE,Armstrong,2,0,False,False,2025-09-08
air-bladder,SQUARE TRAP LETTER,Armstrong,2,0,False,False,2025-09-08
air-cooled,SQUARE GOOSE,Armstrong,2,0,False,False,2025-09-08
air-minded,SQUARE PRICE,Armstrong,2,0,False,False,2025-09-08
air-pump,STRUT SQUARE,Armstrong,2,0,False,False,2025-09-08
air-raid,FACE SQUARE,Armstrong,2,0,False,False,2025-09-08
air-shaft,SQUARE BATH,Armstrong,2,0,False,False,2025-09-08
air-to-air,SQUARE,Armstrong,2,0,False,False,2025-09-08
airbag,TRAP SQUARE,Armstrong,2,0,False,False,2025-09-08
airbed,SQUARE DRESS,Armstrong,2,0,False,False,2025-09-08
airbnb,SQUARE FLEECE,Armstrong,2,0,False,False,2025-09-08
airborne,SQUARE FORCE,Armstrong,2,0,False,False,2025-09-08
airbrush,STRUT SQUARE,Armstrong,2,0,False,False,2025-09-08
airbus,STRUT SQUARE,Armstrong,2,0,False,False,2025-09-08
aircraft,BATH SQUARE,Armstrong,2,0,False,False,2025-09-08
aircrew,SQUARE GOOSE,Armstrong,2,0,False,False,2025-09-08
airdrie,SQUARE FLEECE,Armstrong,2,0,False,False,2025-09-08
airdrop,SQUARE LOT,Armstrong,2,0,False,False,2025-09-08
airedale,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airfare,SQUARE,Armstrong,2,0,False,False,2025-09-08
airfares,SQUARE,Armstrong,2,0,False,False,2025-09-08
airfield,SQUARE FLEECE,Armstrong,2,0,False,False,2025-09-08
airflow,SQUARE GOAT,Armstrong,2,0,False,False,2025-09-08
airframe,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airing,SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
airlifted,SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
airline,SQUARE PRICE,Armstrong,2,0,False,False,2025-09-08
airliner,SQUARE PRICE LETTER,Armstrong,2,0,False,False,2025-09-08
airmail,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airman,SQUARE,Armstrong,2,0,False,False,2025-09-08
airplane,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airpocalypse,SQUARE LOT KIT,Armstrong,2,0,False,False,2025-09-08
airport,SQUARE FORCE,Armstrong,2,0,False,False,2025-09-08
airscrew,SQUARE GOOSE,Armstrong,2,0,False,False,2025-09-08
airship,SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
airshow,SQUARE GOAT,Armstrong,2,0,False,False,2025-09-08
airsickness,SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
airspace,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airspeed,FLEECE SQUARE,Armstrong,2,0,False,False,2025-09-08
airstream,FLEECE SQUARE,Armstrong,2,0,False,False,2025-09-08
airstrip,SQUARE KIT,Armstrong,2,0,False,False,2025-09-08
airway,SQUARE FACE,Armstrong,2,0,False,False,2025-09-08
airy,SQUARE HAPPY,Armstrong,2,0,False,False,2025-09-08
aisha,COMMA (TRAP) (PALM) (FACE) (PRICE) (FLEECE),Armstrong,2,0,False,False,2025-09-08
aiwa,PRICE COMMA,Armstrong,2,0,False,False,2025-09-08
ajaccio,TRAP FLEECE GOAT,Armstrong,2,0,False,False,2025-09-08
ajar,COMMA START,Armstrong,2,0,False,False,2025-09-08
ajax,TRAP FACE,Armstrong,2,0,False,False,2025-09-08
akela,PALM FLEECE,Armstrong,2,0,False,False,2025-09-08
al,TRAP,Armstrong,2,0,False,False,2025-09-08
alabama,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alack,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alamein,FACE TRAP,Armstrong,2,0,False,False,2025-09-08
alan,TRAP,Armstrong,2,0,False,False,2025-09-08
alarm,START COMMA,Armstrong,2,0,False,False,2025-09-08
alaska,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alba,COMMA (TRAP),Armstrong,2,0,False,False,2025-09-08
album,TRAP,Armstrong,2,0,False,False,2025-09-08
albumin,FOOT KIT TRAP,Armstrong,2,0,False,False,2025-09-08
alcatraz,TRAP,Armstrong,2,0,False,False,2025-09-08
alcohol,LOT TRAP,Armstrong,2,0,False,False,2025-09-08
aldershot,LOT LETTER TRAP,Armstrong,2,0,False,False,2025-09-08
ale,FACE,Armstrong,2,0,False,False,2025-09-08
aleph,DRESS TRAP,Armstrong,2,0,False,False,2025-09-08
alert,COMMA NURSE,Armstrong,2,0,False,False,2025-09-08
alex,TRAP,Armstrong,2,0,False,False,2025-09-08
alexander,TRAP BATH LETTER,Armstrong,2,0,False,False,2025-09-08
alexandra,BATH COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alexis,COMMA DRESS KIT,Armstrong,2,0,False,False,2025-09-08
alfalfa,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alfie,HAPPY TRAP,Armstrong,2,0,False,False,2025-09-08
algarve,TRAP START,Armstrong,2,0,False,False,2025-09-08
algeria,TRAP NEAR HAPPY,Armstrong,2,0,False,False,2025-09-08
algorithm,KIT TRAP,Armstrong,2,0,False,False,2025-09-08
alhambra,TRAP COMMA,Armstrong,2,0,False,False,2025-09-08
alibaba,PALM TRAP FLEECE,Armstrong,2,0,False,False,2025-09-08
alicia,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
alien,FACE,Armstrong,2,0,False,False,2025-09-08
alight,PRICE COMMA,Armstrong,2,0,False,False,2025-09-08
align,PRICE,Armstrong,2,0,False,False,2025-09-08
alive,PRICE COMMA,Armstrong,2,0,False,False,2025-09-08
alix,TRAP KIT,Armstrong,2,0,False,False,2025-09-08
all,THOUGHT,Armstrong,2,0,False,False,2025-09-08
all-round,MOUTH THOUGHT,Armstrong,2,0,False,False,2025-09-08
allardyce,PRICE TRAP,Armstrong,2,0,False,False,2025-09-08
allege,DRESS,Armstrong,2,0,False,False,2025-09-08
alleged,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
allegiance,FLEECE,Armstrong,2,0,False,False,2025-09-08
allergic,NURSE KIT,Armstrong,2,0,False,False,2025-09-08
allergy,LETTER TRAP HAPPY,Armstrong,2,0,False,False,2025-09-08
alliance,COMMA PRICE,Armstrong,2,0,False,False,2025-09-08
allow,COMMA MOUTH,Armstrong,2,0,False,False,2025-09-08
allowable,MOUTH,Armstrong,2,0,False,False,2025-09-08
allowance,MOUTH COMMA,Armstrong,2,0,False,False,2025-09-08
allowed,MOUTH,Armstrong,2,0,False,False,2025-09-08
allowing,COMMA MOUTH KIT,Armstrong,2,0,False,False,2025-09-08
allows,MOUTH COMMA,Armstrong,2,0,False,False,2025-09-08
alloy,CHOICE TRAP,Armstrong,2,0,False,False,2025-09-08
alloys,CHOICE TRAP,Armstrong,2,0,False,False,2025-09-08
allure,CURE TRAP,Armstrong,2,0,False,False,2025-09-08
almost,GOAT THOUGHT,Armstrong,2,0,False,False,2025-09-08
alnmouth,MOUTH/COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alone,GOAT COMMA,Armstrong,2,0,False,False,2025-09-08
along,COMMA LOT,Armstrong,2,0,False,False,2025-09-08
alongside,PRICE COMMA LOT,Armstrong,2,0,False,False,2025-09-08
alopecia,COMMA TRAP GOAT FLEECE,Armstrong,2,0,False,False,2025-09-08
alpha,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
alphabet,DRESS TRAP,Armstrong,2,0,False,False,2025-09-08
already,DRESS THOUGHT HAPPY,Armstrong,2,0,False,False,2025-09-08
alsace,TRAP,Armstrong,2,0,False,False,2025-09-08
alsager,FACE TRAP LETTER,Armstrong,2,0,False,False,2025-09-08
also,THOUGHT GOAT,Armstrong,2,0,False,False,2025-09-08
also-ran,GOAT THOUGHT TRAP,Armstrong,2,0,False,False,2025-09-08
altamira,BATH TRAP PRICE,Armstrong,2,0,False,False,2025-09-08
altazimuth,BATH TRAP KIT,Armstrong,2,0,False,False,2025-09-08
altdorfer,NORTH TRAP LETTER,Armstrong,2,0,False,False,2025-09-08
alter,THOUGHT LETTER,Armstrong,2,0,False,False,2025-09-08
alternate,THOUGHT LETTER,Armstrong,2,0,False,False,2025-09-08
alternates,LETTER THOUGHT,Armstrong,2,0,False,False,2025-09-08
alternative,LOT NURSE KIT,Armstrong,2,0,False,False,2025-09-08
althorp,NORTH THOUGHT,Armstrong,2,0,False,False,2025-09-08
although,THOUGHT GOAT,Armstrong,2,0,False,False,2025-09-08
altissimo,BATH KIT GOAT,Armstrong,2,0,False,False,2025-09-08
altitude,GOOSE BATH KIT,Armstrong,2,0,False,False,2025-09-08
altkirch,NEAR BATH,Armstrong,2,0,False,False,2025-09-08
alto,BATH GOAT,Armstrong,2,0,False,False,2025-09-08
altocumulus,BATH GOAT GOOSE,Armstrong,2,0,False,False,2025-09-08
altogether,DRESS THOUGHT LETTER,Armstrong,2,0,False,False,2025-09-08
altoona,BATH GOOSE,Armstrong,2,0,False,False,2025-09-08
altruism,BATH GOOSE KIT,Armstrong,2,0,False,False,2025-09-08
aluminum,GOOSE KIT,Armstrong,2,0,False,False,2025-09-08
alumni,PRICE COMMA STRUT,Armstrong,2,0,False,False,2025-09-08
alva,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
always,FACE THOUGHT,Armstrong,2,0,False,False,2025-09-08
am,TRAP COMMA,Armstrong,2,0,False,False,2025-09-08
amahl,PALM,Armstrong,2,0,False,False,2025-09-08
amanda,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
amaurosis,NORTH TRAP GOAT KIT,Armstrong,2,0,False,False,2025-09-08
amaze,FACE,Armstrong,2,0,False,False,2025-09-08
amazed,COMMA FACE,Armstrong,2,0,False,False,2025-09-08
amazing,COMMA FACE KIT,Armstrong,2,0,False,False,2025-09-08
amazingly,COMMA FACE KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
amazon,TRAP COMMA LOT,Armstrong,2,0,False,False,2025-09-08
ambiguous,GOOSE TRAP KIT,Armstrong,2,0,False,False,2025-09-08
ambitious,TRAP KIT,Armstrong,2,0,False,False,2025-09-08
amelia,COMMA FLEECE,Armstrong,2,0,False,False,2025-09-08
amended,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
amendment,COMMA DRESS,Armstrong,2,0,False,False,2025-09-08
amenities,COMMA DRESS KIT,Armstrong,2,0,False,False,2025-09-08
america,DRESS COMMA KIT,Armstrong,2,0,False,False,2025-09-08
americana,COMMA DRESS KIT BATH,Armstrong,2,0,False,False,2025-09-08
amid,KIT COMMA,Armstrong,2,0,False,False,2025-09-08
